No.,Author,Title,Publication,Start_Year,End_Year,Publication_Type,Source,비고
1,N/A,신단공안,황성신문,1906.05.19,1906.12.31,Article,T,
2,이해조,쌍옥적,제국신문,1908.12.04,1909.02.12,Article,T,
3,이해조,구의산,매일신보,1911.06.22,1911.09.28,Article,T,
4,N/A,지환당,동양서원,1912,,Book,T,
5,김교제,비행선,동양서원,1912,,Book,T,
6,김교제,지장보살,동양서원,1912,,Book,T,
7,박영운,금지환,동양서원,1912,,Book,T,
8,이해조,누구의 죄,보급서관,1913,,Book,T,
9,N/A,홍보석,보급서관,1913,,Book,T,
10,N/A,도리원 (상),박문서관,1913,,Book,T,
11,김교제,일만 구천 방,동양서원,1913,,Book,T,
12,N/A,소년의 탐험,왕래서시,1913,,Book,T,
13,N/A,파도상선,회동서관,1913,,Book,T,
14,이상춘,서해풍파,유일서관,1914,,Book,T,
15,조중환,비봉담,매일신보,1914.07.21,1914.10.28,Article,T,
16,이상협,정부원,매일신보,1914.10.29,1915.05.19,Article,T,
17,이상협,해왕성,매일신보,1916.02.10,1917.03.31,Article,T,
18,장두철,충복,태서문예신보,1918.10.19,1918.11.16,Article,T,
19,복면귀,의문의 사,녹성,1919.11,,Article,T,
20,윤병조,명금,신명서림,1920,,Book,T,
21,호관,혈가사,취산보림,1920.07,1920.9,Article,T,
22,고문룡,검은그림자,학생계,1920.07,,Article,T,
23,N/A,박쥐우산,조선일보,1920.7.14,미상,Article,T,
24,송완식,명금,영창서관,1921,,Book,T,
25,꿈길,전율탑,학생계,1921.02,,Article,T,
26,최상희,813,조선일보,1921.09.16,미상,Article,T,
27,김동성,일레인의 공,동아일보,1921.02.21,1921.07.02,Article,T,
28,SI생,여야차,계명,1921.5,,Article,T,
29,김동성,붉은 실,동아일보,1921.07.04,1921.10.10,Article,T,
30,민태원,무쇠탈,동아일보,1922.01.01.,1922.06.20,Article,T,
31,유광렬,여장부,동아일보,1922.06.21,1922.10.22,Article,T,
32,피피생,금고의 비밀,청년,1922.07,,Article,T,
33,큰샘,청 고대 금화,청년,1922.1,,Article,T,
34,N/A,KKK,학생계,1922.1,1922.11,Article,T,
35,김명순,상봉,개벽,1922.11,,Article,T,
36,김일선,백만 불의 비밀,신명서림,1923,,Book,T,
37,N/A,금강석,회동서관,1923,,Book,T,
38,정순규,농중미인,박문서관,1923,,Book,T,
