No.,Author,Title,Publication_Type,Start_Year,End_Year,Publication_Type,Source,비고
1,김성종,최후의 증인 - 하,남도출판사,1976,,Book,A,
2,김성종,제5열 - 상,남도출판사,1978,,Book,A,
3,김성종,백색인간 -상,남도출판사,1981,,Book,A,
4,김성종,반역의 벽,남도출판사,1983,,Book,A,
5,김성종,Z의 비밀,명지사,1984,,Book,A,
6,김성종,반역의 벽,남도출판사,1984,,Book,A,
7,김성종,부랑의 강,남도출판사,1984,,Book,A,
8,김성종,최후의 증인 - 상,남도출판사,1984,,Book,A,
9,김성종,피아노 살인,명지사,1985,,Book,A,
10,김성종,국제열차 살인사건 1,추리문학사,1987,,Book,A,
11,김성종,국제열차 살인사건 2,추리문학사,1987,,Book,A,
12,김성종,어느 창녀의 죽음,남도출판사,1987,,Book,A,
13,김성종,형사 오병호,추리문학사,1988,,Book,A,
14,안광수,사형특급,명지사,1989,,Book,A,
15,김성종,서울의 황혼,추리문학사,1989,,Book,A,
16,이수광,금빛 육체의 여자,명지사,1990,,Book,A,
17,김성종,불타는 여인 - 상,추리문학사,1990,,Book,A,
18,김성종,비밀 10+9,명지사,1990,,Book,A,
19,김성종,죽음을 부르는 소녀,수목출판사,1990,,Book,A,
20,김성종,백색인간 -하,남도출판사,1991,,Book,A,
21,김성종,비밀 91+α,명지사,1991,,Book,A,
22,강종필,삼각의 종점,명지사,1991,,Book,A,
23,김성종,비밀 93+г,명지사,1992,,Book,A,
24,김성종,비밀 94+감마,명지사,1992,,Book,A,
25,김성종,슬픈 살인 1,추리문학사,1992,,Book,A,
26,정태원,나의 꿈꾸는 여자,동숭동,1993,,Book,A,
27,백휴,낙원의 저쪽 -상,남도출판사,1993,,Book,A,
28,백휴,낙원의 저쪽 -하,남도출판사,1993,,Book,A,
29,김성종,비밀의 연인 - 하,해냄출판사,1993,,Book,A,
30,이수광,사자의 얼굴,명지사,1993,,Book,A,
31,김성종,제5의 사나이 -상,남도출판사,1993,,Book,A,
32,이상우,도전 추리특급,명지사,1994,,Book,A,
33,김성종,버림받은 여자 -상,수목출판사,1994,,Book,A,
34,김성종,버림받은 여자 -하,추리문학사,1994,,Book,A,
35,강형원,보이지 않는 손,남도출판사,1994,,Book,A,
36,김래성,비밀의 문,명지사,1994,,Book,A,
37,김상헌,살인 FM,명지사,1994,,Book,A,
38,김성종,세 얼굴을 가진 사나이 -상,해난터,1994,,Book,A,
39,김성종,세 얼굴을 가진 사나이 -하,해난터,1994,,Book,A,
40,이경재,세계걸작추리 12선 & One,명지사,1994,,Book,A,
41,"이상우,노원",잃어버린 시간과 카페,명지사,1994,,Book,A,
42,김성종,끝없는 복수 -상,추리문학사,1995,,Book,A,
43,김성종,비련의 화인,해난터,1995,,Book,A,
44,김성종,서울의 만가 -상,해난터,1995,,Book,A,
45,김성종,여자는 죽어야 한다 -상,남도출판사,1995,,Book,A,
46,김성종,여자는 죽어야 한다 -하,남도출판사,1995,,Book,A,
47,고원정,외계인 살인사건 - 상,한뜻,1995,,Book,A,
48,고원정,외계인 살인사건 - 하,한뜻,1995,,Book,A,
49,김성종,죽음의 도시,남도출판사,1995,,Book,A,
50,김성종,가을의 유서 1,해난터,1996,,Book,A,
51,김성종,가을의 유서 2,해난터,1996,,Book,A,
52,김성종,가을의 유서 3,해난터,1996,,Book,A,
53,김성종,가을의 유서 4,해난터,1996,,Book,A,
54,김성종,나는 살고 싶다,추리문학사,1996,,Book,A,
55,백휴,낙원의 저쪽,고려원(고려원미디어),1996,,Book,A,
56,김성종,돌아온 사자,신원문화사,1996,,Book,A,
57,김성종,라인 X -상,남도출판사,1996,,Book,A,
58,김성종,라인 X -하,남도출판사,1996,,Book,A,
59,김성종,미로의 저쪽 -상,명지사,1996,,Book,A,
60,김성종,미로의 저쪽 -하,명지사,1996,,Book,A,
61,김온영,사과전쟁 1,세명문화사,1996,,Book,A,
62,박무정,살인수업,다나기획,1996,,Book,A,
63,이상우,안개도시,명지사,1996,,Book,A,
64,김성종,최후의 증인 1,고려원(고려원미디어),1996,,Book,A,
65,김성종,고독과 굴욕,명지사,1997,,Book,A,
66,황세연,미녀사냥꾼,해난터,1997,,Book,A,
67,김성종,붉은 대지 1,해냄출판사,1997,,Book,A,
68,김성종,붉은 대지 2,해냄출판사,1997,,Book,A,
69,김성종,붉은 대지 3,해냄출판사,1997,,Book,A,
70,김성종,붉은 대지 4,해냄출판사,1997,,Book,A,
71,김성종,붉은 대지 5,해냄출판사,1997,,Book,A,
72,이상우,비밀 10+9,명지사,1997,,Book,A,
73,백휴,사이버 킹,새로운사람들,1997,,Book,A,
74,안정효,실종 - 상,정민미디어,1997,,Book,A,
75,김성종,얼어붙은 시간,추리문학사,1997,,Book,A,
76,김성종,코리언 X파일 -상,추리문학사,1997,,Book,A,
77,김성종,98 올해의 추리소설 실종,신원문화사,1998,,Book,A,
78,김성종,Z의 비밀,초록배매직스,1998,,Book,A,
79,김성종,미로의 저쪽 1,초록배매직스,1998,,Book,A,
80,김성종,미로의 저쪽 2,초록배매직스,1998,,Book,A,
81,김성종,한국 국민에게 고함 1,남도출판사,1998,,Book,A,
82,김성종,한국 국민에게 고함 3,남도출판사,1998,,Book,A,
83,김성종,99 올해의 추리소설 - 아웃사이더,신원문화사,1999,,Book,A,
84,김용상,늑대들의 안식일,나남출판,1999,,Book,A,
85,이민희,무한변론,여백(여백미디어),1999,,Book,A,
86,김용상,백색 미모사의 공포,나남출판,1999,,Book,A,
87,김태수,본능 속의 자유 아메바 1,이오스,1999,,Book,A,
88,안하림,빛 1,은행나무,1999,,Book,A,
89,김용상,살인 비즈니스의 법칙,나남출판,1999,,Book,A,
90,김용상,살인자의 가면무도회,나남출판,1999,,Book,A,
91,최상규,슬픈 만남,초록배매직스,1999,,Book,A,
92,김현서,시바의 칼 -상,새로운사람들,1999,,Book,A,
93,김종원,트랙 제로 1,대나무집,1999,,Book,A,
94,김종원,트랙 제로 2,대나무집,1999,,Book,A,
95,한국추리작가협회,씨오점케이알 살인사건,태동출판사,2000,,Anthology,A,
96,한국추리작가협회,코카인 ... 여인,태동출판사,2000,,Anthology,A,
97,이진우,메멘토모리 1,초록배매직스,2000,,Book,A,
98,김용상,여자,책만드는집,2000,,Book,A,
99,송세현,저주회사 효연철학원 1,너와나미디어,2000,,Book,A,
100,최종철,코스닥 살인,탑프린,2000,,Book,A,
101,이태조,통곡의 산,에스케이문화(서광문화사),2000,,Book,A,
102,최현규,해인의 비밀 1,정신세계사,2000,,Book,A,
103,한국추리작가협회,여고 동창,태동출판사,2001,,Anthology,A,
104,"김성종,서미애,김남,김상헌",오해,태동출판사,2001,,Anthology,A,
105,한상운,무림맹 연쇄 살인사건,시공사,2001,,Book,A,
106,박지영,살인에 대한 충동,프로넷,2001,,Book,A,
107,정건섭,성모 마리아 지옥에 가다 1,개미,2001,,Book,A,
108,이장우,심포니 오브 디스트럭션,초록배매직스,2001,,Book,A,
109,김현서,악마와 식사할 땐 긴 스푼을 써라,실천문학사,2001,,Book,A,
110,하병무,캘린더 2017,밝은세상,2001,,Book,A,
111,김태정,캠프,창해,2001,,Book,A,
112,최경수,해커스랩 1,문이당,2001,,Book,A,
113,김상돈,호수 위로 석양을 보다,태동출판사,2001,,Book,A,
114,한국추리작가협회,미스터리 - 2002.여름,다인미디어,2002,,Anthology,A,
115,한국추리작가협회,예전엔 미쳐서 몰랐어요,태동출판사,2002,,Anthology,A,
116,한국추리작가협회,한국추리문학 걸작선,태동출판사,2002,,Anthology,A,
117,신일하,광화문에 소나무를 심자 1,여울문학,2002,,Book,A,
118,김나경,상속녀 1,호연지기,2002,,Book,A,
119,김재기,알라 할림 1,이론과실천,2002,,Book,A,
120,김경욱,황금사과,문학동네,2002,,Book,A,
121,박연선,"여름, 어디선가 시체가",놀,2002,,Book,K,
122,한국추리작가협회,2003 올해의 추리소설,산다슬,2003,,Anthology,A,
123,한국추리작가협회,계간 미스터리 - 2003.여름호,다인미디어,2003,,Book,A,
124,하유상,꼬리 감추는 여인,책만드는공장,2003,,Book,A,
125,이은,누가 스피노자를 죽였을까,문학수첩,2003,,Book,A,
126,김탁환,방각본 살인 사건 - 상,황금가지,2003,,Book,A,
127,이치은,"유대리는 어디에서, 어디로 사라졌는가?",민음사,2003,,Book,A,
128,김성종,최후의 증인,동서문화동판(동서문화사),2003,,Book,A,
129,정규웅,추리소설의 세계,살림,2003,,Book,A,
130,한국추리작가협회,2004 올해의 추리소설,화남출판사,2004,,Anthology,A,
131,한국추리작가협회,2005 오늘의 추리소설,산다슬,2004,,Anthology,A,
132,황세연,EQ 추리퀴즈 프로젝트,산다슬,2004,,Book,A,
133,황세연,IQ 추리퀴즈 프로젝트,산다슬,2004,,Book,A,
134,한국추리작가협회,계간 미스터리 - 2003.겨울호,다인미디어,2004,,Book,A,
135,하용준,고구려 유기 - 전2권,더프로젝트커뮤니케이션,2004,,Book,A,
136,하용준,고구려 유기 1,더프로젝트커뮤니케이션,2004,,Book,A,
137,김영근,그레이 홀 1,예투,2004,,Book,A,
138,정형,맨해튼의 이방인들 1,화산문화,2004,,Book,A,
139,정형,맨해튼의 이방인들 2,화산문화,2004,,Book,A,
140,이안,블랙 골드 1,자음과모음,2004,,Book,A,
141,조은재,오시리스 살인사건 1,지오북스,2004,,Book,A,
142,김종철,천년전쟁 1,삶과꿈,2004,,Book,A,
143,김성종,피아노 살인,남도출판사,2004,,Book,A,
144,이인화,하비로,해냄출판사,2004,,Book,A,
145,한국추리작가협회,2005 올해의 추리소설,산다슬,2005,,Anthology,A,
146,명화정,Blue Bird,심주출판사,2005,,Book,A,
147,한국추리작가협회,계간 미스터리 2005.여름,산다슬,2005,,Book,A,
148,김성종,고독과 굴욕,SKY미디어(스카이미디어),2005,,Book,A,
149,김탁환,부여현감 귀신체포기 1,이가서,2005,,Book,A,
150,김성종,비밀의 연인 1,SKY미디어(스카이미디어),2005,,Book,A,
151,김성종,세 얼굴을 가진 사나이 1,SKY미디어(스카이미디어),2005,,Book,A,
152,이정빈,악의 농락 1,지성문화사,2005,,Book,A,
153,이정빈,악의 농락 3,지성문화사,2005,,Book,A,
154,김탁환,열녀문의 비밀 -상,황금가지,2005,,Book,A,
155,김탁환,열녀문의 비밀 -하,황금가지,2005,,Book,A,
156,김태훈,이순신의 비본 1,창해,2005,,Book,A,
157,김성종,제3의 정사,SKY미디어(스카이미디어),2005,,Book,A,
158,김성종,최후의 밀서,남도출판사,2005,,Book,A,
159,송대방,헤르메스의 기둥 1,문학동네,2005,,Book,A,
160,"서미애,장세연,황세연,김유철,류성희,김차애,김상윤",2006 오늘의 추리소설,산다슬,2006,,Anthology,A,
161,한국추리작가협회,2006 올해의 추리소설,산다슬,2006,,Anthology,A,
162,최혁곤,B컷,황금가지,2006,,Book,A,
163,김성종,가을의 유서 1,SKY미디어(스카이미디어),2006,,Book,A,
164,한국추리작가협회,계간 미스터리 2006.봄,산다슬,2006,,Book,A,
165,한국추리작가협회,계간 미스터리 2006.여름,산다슬,2006,,Book,A,
166,류성희,나는 사랑을 죽였다,산다슬,2006,,Book,A,
167,서미애,남편을 죽이는 서른 가지 방법,산다슬,2006,,Book,A,
168,정석화,남편을 지독히 사랑하는 여자,산다슬,2006,,Book,A,
169,김성종,봄은 오지 않을 것이다 1,남도출판사,2006,,Book,A,
170,정완주,빌더버그 1,바른지식,2006,,Book,A,
171,이정명,뿌리깊은 나무 세트 - 전2권,밀리언하우스,2006,,Book,A,
172,안하림,사이코패스 1,팬덤,2006,,Book,A,
173,김상현,소설 정약용 살인사건,랜덤하우스코리아,2006,,Book,A,
