No.,Title,Author,Publication,Start_Year,End_Year,Publication_Type,Source,비고
1,"(三省版) 韓國現代文學全集. 3, 5, 9, 12, 14-15, 17, 19, 45, 47-48, 50-51, 53, 55, 57, 59-60",삼성출판사,삼성출판사,1982,,Anthology,"MK, MN",
2,"(三省版) 韓國現代文學全集. 3, 5, 9, 12, 14-15, 17, 19, 45, 47-48, 50, 51,53, 55, 57, 59-60 / 三省出版社 [編]",염상섭 외,삼성출판사,1982,,Anthology,"MK, MN",
3,라인X. 上,김성종,남도출판사,1987,,Book,"MK, DN",
4,덫 : 정건섭 본격추리소설,정건섭,공사,1988,,Book,"MK, DN",
5,불꽃살인 : 전애림 장편추리소설,전애림,청목서적,1988,,Book,"MK, DN",
6,화려한 도시 : 이상욱 추리소설 : 당신은 어떤 타입의 도시인인가?,이상욱,고려문학사,1989,,Book,"MK, DN",
7,5시간30분 : 장편추리소설,정건섭,심지,1990,,Book,"MK, DN",
8,바람난 아침 : 장편추리소설,정건섭,삼진기획,1991,,Book,"MK, DN",
9,악마의 미소 : 독고영 장편추리소설,독고영,열곡문화사,1991,,Book,"MK, DN",
10,(秘密) 93+γ : 추리소설,"김성종,이상우",명지사,1993,,Anthology,"MK, DN",
11,러브 미스테리,정태원,비전,1993,,Book,"MK, DN",
12,세 얼굴을 가진 사나이 : 김성종 추리소설. 하,김성종,해난터,1994,,Book,"MK, DN",
13,女子는 죽어야 한다. 下,김성종,남도출판사,1995,,Book,"MK, DN",
14,5時間 30分 : 제1회 한국추리문학상수상자 정건섭本格推理小說,정건섭,예술시대,1996,,Book,"MK, DN",
15,겨울 태풍,정건섭,고려원미디어,1996,,Book,"MK, MN",
16,원줄과 목줄 : 바다추리소설,조돈만,책과벗,1996,,Book,"MK, DN",
17,아내는 실종중 : 이상우 대표 추리소설. 하,이상우,삼성서적,1997,,Book,"MK, DN",
18,야간 탈옥,김상헌,고려원미디어,1997,,Book,"MK, MN",
19,불타는 대망의 도박,안홍열,정문각,2002,,Book,"MK, DN",
20,얼굴없는 재벌,안홍열,정문각,2002,,Book,"MK, DN",
21,한국추리문학 걸작선,한국추리작가협회,태동출판사,2002,,Anthology,"MK, DN",
22,레드 존 : 황유석 미스터리 스릴러. 1. 혼돈의 시작,황유석,두리미디어,2003,,Book,"MK, DN, MN",동일
23,"방각본 살인사건 : 김탁환 역사 추리 소설. 上, 下",김탁환,황금가지,2003,,Book,"MK, DN",
24,최후의 증인,김성종,동서문화사,2003,,Book,"MK, DN, MN",동일
25,(이인화 장편소설)하비로,이인화,해냄출판사,2004,,Book,"MK, DN",
26,(장편추리소설)징후,신외숙,한글,2004,,Book,"MK, DN",
27,2005 오늘의 추리소설 : 날 기억하지 말아요,추리문학연구회,산다슬,2004,,Anthology,"MK, DN",
28,여상속인 : 기업추리소설. 1-3,김나경,연합뉴스 동북아센터,2004,,Book,"MK, DN",
29,천년전쟁. 1 - 2,김종철,삶과꿈,2004,,Book,"MK, DN",
30,피아노살인 : 김성종 추리문학전집,김성종,남도출판사,2004,,Book,"MK, DN",
31,하비로 : 이인화 장편소설,이인화,해냄,2004,,Book,"MK, DN",
32,남극일기,임필성,랜덤하우스중앙,2005,,Book,"MK, DN",
33,남극일기,임필성,랜덤하우스중앙,2005,,Book,"MK, DN",
34,늪 : 서재우 미스터리 스릴러 장편소설. 1 - 2(완결),서재우,영상출판미디어(영상노트),2005,,Book,"MK, MN",
35,최후의 밀서,김성종,남도출판사,2005,,Book,"MK, DN",
36,2006 올해의 추리소설 : 사랑보다 아름다운 유혹,한국추리작가협회,산다슬,2006,,Anthology,"MK, DN",
37,나는 사랑을 죽였다 : 류성희 심리추리소설,류성희,산다슬,2006,,Book,"MK, DN, MN",동일
38,남편을 죽이는 서른가지 방법 : 서미애 추리소설,서미애,산다슬,2006,,Book,"MK, DN, MN",동일
39,남편을 지독히 사랑하는 여자 : 정석화 서스펜스소설,정석화,산다슬,2006,,Book,"MK, MN",
40,봄은 오지 않을 것이다. 1-3,김성종,남도출판사,2006,,Book,"MK, DN",
41,북쪽 휴양지 : 추리소설 네 번째 이야기,황성현,나노미디어,2006,,Book,"MK, DN",
42,이별의목적 : 김차애 추리소설,김차애,산다슬,2006,,Book,"MK, DN, MN",동일
43,주피터의 비밀,양희찬,중명출판사,2006,,Book,"MK, DN",
44,구기화 : 해밀 추리 무협 소설. 1-4(완결),해밀,청어람,2007,2008,Book,"MK, DN",
45,백일몽 : 고을주 장편 추리소설,고을주,연인M&B,2007,,Book,"MK, DN",
46,서울의 만가 : 김성종 장편소설. 1-2,김성종,남도출판사,2007,,Book,"MK, DN",
47,아름다운 밀회 : 김성중 장편추리소설. 1-2,김성종,남도출판사,2007,,Book,"MK, DN",
48,안개 속의 살인 : 2007' 올해의 추리소설,한국추리작가협회,화남,2007,,Anthology,"MK, DN",
49,"열녀문의 비밀 : 김탁환 장편소설. 상, 하",김탁환,민음사,2007,,Book,"MK, DN",
50,일곱 개의 장미송이 : 김성종 장편소설,김성종,남도출판사,2007,,Book,"MK, DN",
51,22일 : 최성근 장편소설,최성근,웅진씽크빅,2008,,Book,"MK, DN",
52,나는 고백한다 : 정도전 암살 미스터리,이재운,위즈덤하우스,2008,,Book,"MK, MN",
53,백색인간 : 김성종 추리소설. 1-2,김성종,남도출판사,2008,,Book,"MK, DN",
54,세계 악녀들의 유희,유인경,백양출판사,2008,,Book,"MK, DN",
55,제3의 사나이 : 김성종 장편추리소설. 1-2,김성종,남도출판사,2008,,Book,"MK, DN",
